Time [msec],xs,xr,ys,yr,zs,Red,Green,Blue,dX,dY,dTime,Angle (deg),Distance (m)
5750,1.2377,8.19,1.3675,15.39,0.0,255.0,255.0,255.0,0.06180000000000008,-0.09260000000000002,0.125,-56.28138450452757,0.1113283432015406
5875,1.31355,8.09,1.2549000000000001,15.03,0.0,255.0,255.0,255.0,0.07584999999999997,-0.11259999999999981,0.125,-56.03486802571844,0.13576443753796483
6000,1.3894,7.82,1.1423,14.49,0.0,255.0,255.0,255.0,0.07584999999999997,-0.11260000000000003,0.125,-56.03486802571849,0.13576443753796502
6125,1.4720499999999999,7.2,1.0191000000000001,14.0,0.0,255.0,255.0,255.0,0.08264999999999989,-0.12319999999999998,0.125,-56.14390478720951,0.14835519033724426
6250,1.5547,7.05,0.8959,13.56,0.0,255.0,255.0,255.0,0.08265000000000011,-0.12320000000000009,0.125,-56.143904787209465,0.14835519033724448
6375,1.637,6.57,0.7713000000000001,13.18,0.0,255.0,255.0,255.0,0.08230000000000004,-0.12459999999999993,0.125,-56.554693787648254,0.14932665535663747
6500,1.7193,6.46,0.6467,12.69,0.0,255.0,255.0,255.0,0.08230000000000004,-0.12460000000000004,0.125,-56.554693787648276,0.14932665535663758
6625,1.79405,6.54,0.53005,12.04,0.0,255.0,255.0,255.0,0.07474999999999987,-0.11665000000000003,0.125,-57.34801449651379,0.13854524531718868
6750,1.8688,5.99,0.4134,11.63,0.0,255.0,255.0,255.0,0.0747500000000001,-0.11665000000000003,0.125,-57.34801449651371,0.1385452453171888
6875,1.9287999999999998,5.84,0.31395,11.26,0.0,255.0,255.0,255.0,0.05999999999999983,-0.09944999999999998,0.125,-58.896652697681674,0.116147761493711
7000,1.9888,4.83,0.2145,10.98,0.0,255.0,255.0,255.0,0.06000000000000005,-0.09945000000000001,0.125,-58.89665269768158,0.11614776149371114
7125,2.02685,4.39,0.14150000000000001,10.35,0.0,255.0,255.0,255.0,0.03805000000000014,-0.07299999999999998,0.125,-62.469992979385516,0.08232133684531616
7250,2.0649,3.35,0.0685,9.89,0.0,255.0,255.0,255.0,0.03805000000000014,-0.07300000000000001,0.125,-62.469992979385516,0.08232133684531619
7375,2.0738000000000003,2.6,0.03135,9.57,0.0,255.0,255.0,255.0,0.00890000000000013,-0.03715,0.125,-76.52760155658943,0.038201210713798096
7500,2.0827,1.97,-0.0058,8.99,0.0,255.0,255.0,255.0,0.008899999999999686,-0.03715,0.125,-76.52760155659007,0.038201210713798
7625,2.0499,1.49,-0.01385,8.63,0.0,255.0,255.0,255.0,-0.03279999999999994,-0.00805,0.125,-166.21063089446196,0.03377339929589552
7750,2.0171,0.39,-0.0219,8.53,0.0,255.0,255.0,255.0,-0.03279999999999994,-0.00805,0.125,-166.21063089446196,0.03377339929589552
7875,1.93615,654.86,-0.02625,8.44,0.0,255.0,255.0,255.0,-0.08095000000000008,-0.00435,0.125,-176.92406234946637,0.08106679344836586
8000,1.8552,654.2,-0.0306,8.6,0.0,255.0,255.0,255.0,-0.08095000000000008,-0.00435,0.125,-176.92406234946637,0.08106679344836586
8125,1.738,653.73,-0.0325,9.01,0.0,255.0,255.0,255.0,-0.11719999999999997,-0.0019000000000000024,0.125,-179.071224866174,0.11721540001211442
8250,1.6208,653.43,-0.0344,9.42,0.0,255.0,255.0,255.0,-0.11719999999999997,-0.001899999999999999,0.125,-179.071224866174,0.11721540001211442
8375,1.4796,653.89,-0.03435,10.22,0.0,255.0,255.0,255.0,-0.1412,5.000000000000143e-05,0.125,179.9797111270828,0.14120000885269093
8500,1.3384,654.07,-0.0343,10.98,0.0,255.0,255.0,255.0,-0.1412,5.000000000000143e-05,0.125,179.9797111270828,0.14120000885269093
8625,1.18545,654.63,-0.03275,11.81,0.0,255.0,255.0,255.0,-0.15295000000000014,0.0015499999999999958,0.125,179.41938268541935,0.15295785367218004
8750,1.0325,655.07,-0.0312,12.41,0.0,255.0,255.0,255.0,-0.15294999999999992,0.0015500000000000028,0.125,179.41938268541935,0.15295785367217982
8875,0.87995,655.09,-0.0288,12.84,0.0,255.0,255.0,255.0,-0.15254999999999996,0.0023999999999999994,0.125,179.09866583182864,0.15256887788798865
9000,0.7274,654.54,-0.0264,13.46,0.0,255.0,255.0,255.0,-0.15254999999999996,0.0023999999999999994,0.125,179.09866583182864,0.15256887788798865
9125,0.58745,654.59,-0.0236,14.42,0.0,255.0,255.0,255.0,-0.13995000000000002,0.0028000000000000004,0.125,178.85382792379573,0.13997800720113143
9250,0.4475,654.96,-0.0208,15.04,0.0,255.0,255.0,255.0,-0.13995000000000002,0.0028000000000000004,0.125,178.85382792379573,0.13997800720113143
9375,0.33245,655.16,-0.01815,15.56,0.0,255.0,255.0,255.0,-0.11504999999999999,0.0026499999999999996,0.125,178.68051305582912,0.11508051529255506
9500,0.2174,655.33,-0.0155,16.18,0.0,255.0,255.0,255.0,-0.11505000000000001,0.0026499999999999996,0.125,178.68051305582912,0.11508051529255509
9625,0.13940000000000002,0.28,-0.01355,16.68,0.0,255.0,255.0,255.0,-0.07799999999999999,0.0019500000000000003,0.125,178.56790381583536,0.07802437119259596
9750,0.0614,0.74,-0.0116,16.96,0.0,255.0,255.0,255.0,-0.07800000000000001,0.0019500000000000003,0.125,178.56790381583536,0.07802437119259599
9875,0.0327,1.59,-0.0108,17.06,0.0,255.0,255.0,255.0,-0.028700000000000003,0.0007999999999999986,0.125,178.40331855092006,0.028711147660795452
10000,0.004,1.97,-0.01,17.32,0.0,255.0,255.0,255.0,-0.0287,0.0008000000000000004,0.125,178.40331855092006,0.02871114766079545
